SKU;Nome;Categoria;Preco;Estoque;Peso (kg);Altura (cm);Largura (cm);Comprimento (cm);Foto;Descricao
tricot-trancado;Vestido Tricot Trançado;Tricot;;;;;;;1-vestido-tricot-trancado.webp;
casaco-pelucia;Casaco Pelúcia com Cinto;Casacos;;;;;;;2-casaco-pelucia-cinto.webp;
conjunto-listra;Conjunto Tricot Listra Lateral;Tricot;;;;;;;3-conjunto-tricot-listra.webp;
midi-canelado;Vestido Midi Canelado;Vestidos;;;;;;;4-vestido-midi-canelado.webp;
salopete-couro;Salopete de Couro;Vestidos;;;;;;;5-salopete-couro.webp;
pantalona-bege;Calça Pantalona Bege;Alfaiataria;;;;;;;6-calca-pantalona-bege.webp;
jaqueta-caramelo;Jaqueta de Couro Caramelo;Casacos;;;;;;;7-jaqueta-couro-caramelo.webp;
jaqueta-preta;Jaqueta de Couro Preta;Casacos;;;;;;;8-jaqueta-couro-preta.webp;
pantalona-coral;Calça Pantalona Coral;Alfaiataria;;;;;;;9-calca-pantalona-coral.webp;
saia-couro;Saia Midi de Couro;Saias;;;;;;;10-saia-midi-couro.webp;
